OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,if_pandemic
66388986,,575300,0.0,0.0,0.0,1.0,1.0,South,2018/2019,GLENMORE ST,UPLAND ROAD,,Non-Injury Crash,No,2018,1.0,South,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Overcast,2152600,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Off,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain,Null,0
66388998,,572600,0.0,0.0,0.0,2.0,0.0,North,2017/2018,MAIN ROAD,LINCOLN AVENUE,,Non-Injury Crash,No,2018,0.0,North,0.0,0,0.0,Flat,0.0,,0.0,,0.0,Dark,1992000,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,On,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389034,,577000,0.0,,0.0,1.0,,South,2019/2020,STEWART DUFF DRIVE,STATION DRIVE,,Minor Crash,No,2019,,South,,0,,Flat,,,,,,Overcast,2175700,1,0.0,0.0,4.0,,,0.0,,,1.0,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,20.0,,Off,0.0,0.0,,47,Wellington City,Unknown,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389036,,576800,0.0,,0.0,0.0,,East,2018/2019,SH 1N,EAST PORTAL,,Non-Injury Crash,Yes,2018,,West,,0,,Flat,,,,,,Overcast,2181800,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Null,1.0,0.0,,47,Wellington City,Unknown,,,,,0.0,0.0,Urban,1.0,,,Light rain,Null,0
66389128,,572900,0.0,,0.0,2.0,,Null,2017/2018,TINAKORI ROAD,TINAKORI OFF NBD,,Non-Injury Crash,No,2018,,South,,0,,Flat,,,,,,Dark,2123100,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,On,0.0,0.0,,47,Wellington City,Traffic Signals,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389132,,573101,0.0,,0.0,2.0,,Null,2018/2019,WEBB STREET,TARANAKI STREET,,Non-Injury Crash,No,2019,,East,,0,,Flat,,,,,,Unknown,2135100,0,0.0,0.0,4.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Null,0.0,0.0,,47,Wellington City,Traffic Signals,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389147,,576100,0.0,0.0,1.0,3.0,0.0,North,2018/2019,HOUGHTON BAY RD,SOUTHERN WALKWAY,,Non-Injury Crash,No,2018,0.0,North,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Bright sun,2194400,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Off,1.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389180,,573700,0.0,,0.0,1.0,,Null,2017/2018,MOOREFIELD ROAD,JOHNSONVILLE ROAD,,Non-Injury Crash,No,2018,,South,,0,,Flat,,,,,,Twilight,2082300,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Motorway ramp,1-way,Sealed,,0.0,0,,50.0,,On,0.0,0.0,,47,Wellington City,Give way,,,,,0.0,0.0,Urban,1.0,,,Heavy rain,Null,0
66389187,,573000,0.0,,0.0,3.0,,North,2018/2019,SH 1N,NORTH PORTAL NBD,,Non-Injury Crash,Yes,2018,,North,,0,,Flat,,,,,,Bright sun,2126700,0,0.0,0.0,1.0,,,0.0,,,,,,Wellington Region,Motorway ramp,1-way,Sealed,,0.0,0,,80.0,,Null,1.0,0.0,,47,Wellington City,Unknown,,,,,0.0,0.0,Open,1.0,,,Fine,Null,0
66389213,,573000,0.0,,0.0,0.0,,East,2018/2019,SOUTH-EASTERN HIGHWAY,CARBINE ROAD,,Non-Injury Crash,No,2018,,East,,0,,Null,,,,,,Unknown,2127400,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,1-way,Sealed,,0.0,0,,80.0,,Null,0.0,0.0,,47,Wellington City,Unknown,,,,,0.0,2.0,Open,0.0,,,Null,Null,0
